item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,survey
1,1,2,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,3,2,1,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,2,2,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
3,1,2,1,1,1,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,2,2,1,3,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,3,1,1,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
3,1,2,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,2,2,1,1,1,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,1,1,1,2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,2,2,2,1,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,1,1,1,1,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,2,1,1,2,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,2,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,3,1,1,3,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,2,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
3,1,2,1,1,1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
3,3,5,1,2,4,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,2,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,2,1,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,2,1,3,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,3,2,3,1,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,3,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,2,1,1,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
2,1,2,1,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
3,3,2,3,1,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,3,1,1,3,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
1,1,1,1,1,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_neg_2
6,3,4,4,5,7,6,5,4,6,5,2,5,3,4,4,5,4,NA,NA,pas_1
6,5,6,7,6,7,6,6,5,6,6,7,6,3,3,5,5,7,NA,NA,pas_1
6,7,6,6,7,1,6,7,6,7,6,5,7,2,5,5,7,7,NA,NA,pas_1
6,7,7,7,6,7,5,7,5,7,6,6,7,6,3,7,7,6,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,5,7,7,7,2,5,6,5,NA,NA,pas_1
7,6,5,7,3,7,5,6,2,6,5,6,2,6,3,3,6,6,NA,NA,pas_1
7,7,7,4,4,7,3,4,4,6,4,2,7,6,5,7,6,6,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,NA,NA,pas_1
6,7,7,7,7,6,7,7,4,7,4,7,7,7,4,7,7,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,5,7,7,7,7,5,5,7,7,7,NA,NA,pas_1
7,7,7,7,6,7,6,6,6,6,7,7,7,2,6,7,4,7,NA,NA,pas_1
7,7,7,7,6,7,6,7,6,7,5,5,7,7,4,7,5,6,NA,NA,pas_1
6,7,7,4,7,7,7,7,7,7,7,7,7,5,6,7,7,7,NA,NA,pas_1
7,7,7,7,6,7,6,7,6,7,6,5,7,6,1,7,6,2,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,6,7,7,5,2,7,4,7,NA,NA,pas_1
6,7,6,6,7,7,6,6,5,7,4,6,7,6,3,6,7,6,NA,NA,pas_1
6,7,7,5,7,7,7,6,6,7,7,6,7,3,6,6,6,7,NA,NA,pas_1
6,7,6,6,6,7,4,6,7,7,6,6,7,5,3,5,6,6,NA,NA,pas_1
1,3,4,5,4,5,2,4,1,2,4,2,2,2,2,1,2,4,NA,NA,pas_1
5,5,7,7,6,7,6,5,2,6,5,7,5,5,5,3,4,6,NA,NA,pas_1
6,5,3,7,5,7,4,6,6,5,7,2,5,6,1,1,3,3,NA,NA,pas_1
3,7,3,7,6,7,7,7,3,7,6,5,7,7,3,7,7,6,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,NA,NA,pas_1
6,6,6,6,5,7,3,6,4,6,5,5,6,7,3,6,5,7,NA,NA,pas_1
7,5,6,5,4,7,4,6,5,7,4,5,5,2,3,5,7,5,NA,NA,pas_1
5,7,7,7,7,7,6,7,3,7,6,6,7,6,3,7,7,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,6,7,6,7,7,6,6,7,6,7,NA,NA,pas_1
7,7,7,7,7,7,6,7,4,7,7,7,7,6,7,7,7,7,NA,NA,pas_1
6,7,6,6,5,6,5,6,6,6,6,6,7,4,3,5,5,3,NA,NA,pas_1
7,7,7,5,7,7,7,7,7,7,5,6,7,5,3,6,5,5,NA,NA,pas_1
6,7,7,7,7,7,6,7,6,7,6,6,7,3,7,6,3,7,NA,NA,pas_1
6,7,7,5,6,7,6,7,5,7,5,6,7,3,5,6,4,6,NA,NA,pas_1
7,7,7,7,6,7,5,7,6,7,4,6,7,6,5,7,7,7,NA,NA,pas_1
4,3,7,6,4,7,5,6,3,6,4,5,6,3,2,5,3,6,NA,NA,pas_1
4,7,7,4,6,7,7,6,4,6,4,7,7,6,4,7,7,6,NA,NA,pas_1
7,6,7,7,7,7,7,7,6,5,4,6,7,7,6,7,7,6,NA,NA,pas_1
7,7,7,7,6,7,7,7,5,7,5,6,7,5,4,5,7,1,NA,NA,pas_1
5,7,7,6,7,7,7,7,5,7,7,7,7,3,6,6,7,7,NA,NA,pas_1
4,7,6,6,5,7,5,5,4,6,6,5,6,5,4,7,4,6,NA,NA,pas_1
7,6,7,5,3,7,5,5,5,6,4,4,7,5,3,6,5,5,NA,NA,pas_1
5,5,5,4,7,7,5,6,3,7,5,5,7,5,6,5,4,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,4,7,4,7,7,3,3,7,6,7,NA,NA,pas_1
7,7,7,7,5,7,7,7,2,7,6,3,7,7,4,7,7,6,NA,NA,pas_1
7,7,7,3,6,7,5,6,5,7,5,4,6,4,4,6,7,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,6,7,7,6,7,7,4,2,6,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,7,7,NA,NA,pas_1
3,6,6,5,5,4,5,5,3,5,5,5,5,5,4,5,3,5,NA,NA,pas_1
7,6,6,7,6,7,6,6,7,6,7,6,5,6,2,6,7,4,NA,NA,pas_1
7,6,2,7,5,7,7,7,6,6,4,1,7,3,1,7,7,7,NA,NA,pas_1
7,6,4,5,6,4,7,6,1,6,1,2,5,5,4,5,3,5,NA,NA,pas_1
6,6,6,7,5,7,4,7,5,5,4,6,6,7,1,6,1,5,NA,NA,pas_1
6,7,7,7,5,7,4,7,4,7,2,5,7,6,3,6,6,7,NA,NA,pas_1
7,6,4,2,3,7,4,5,2,5,5,4,4,4,1,5,3,4,NA,NA,pas_1
4,3,3,4,2,5,2,4,1,4,1,1,1,4,1,2,2,5,NA,NA,pas_1
7,7,7,6,7,7,7,7,7,7,7,7,7,6,4,6,7,6,NA,NA,pas_1
6,7,7,7,6,7,7,7,2,7,6,7,7,7,1,7,6,6,NA,NA,pas_1
7,7,6,7,7,7,6,7,6,7,5,6,7,5,5,6,7,6,NA,NA,pas_1
7,2,4,3,4,5,1,4,3,4,5,4,4,4,5,4,2,6,NA,NA,pas_1
6,6,7,5,7,7,7,6,3,7,5,7,7,6,3,6,4,5,NA,NA,pas_1
7,7,7,7,7,7,7,7,5,7,7,7,7,3,6,7,7,7,NA,NA,pas_1
6,6,6,7,7,7,6,6,3,6,7,6,6,6,5,6,7,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,6,7,5,6,7,7,4,7,7,7,NA,NA,pas_1
7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,NA,NA,pas_1
7,7,7,7,5,7,3,7,1,7,4,7,7,3,3,1,7,6,NA,NA,pas_1
5,7,4,7,4,7,1,4,1,4,1,1,1,7,1,4,7,7,NA,NA,pas_1
6,7,7,7,5,7,5,7,2,7,6,5,7,3,3,7,6,7,NA,NA,pas_1
7,7,7,6,5,7,6,7,7,7,7,6,7,3,4,6,6,7,NA,NA,pas_1
6,7,7,6,5,7,7,7,4,7,7,6,7,6,4,7,7,7,NA,NA,pas_1
4,7,3,1,6,7,5,2,1,7,4,6,7,5,1,7,4,3,NA,NA,pas_1
6,5,5,5,2,6,1,5,6,5,5,1,4,3,2,5,5,4,NA,NA,pas_1
4,4,4,4,4,6,3,4,1,4,4,2,3,3,4,4,4,6,NA,NA,pas_1
6,6,6,6,5,7,4,6,5,6,7,5,7,2,5,5,6,3,NA,NA,pas_1
7,6,7,7,2,7,2,7,4,7,5,7,6,4,1,7,7,5,NA,NA,pas_1
7,7,7,6,7,7,7,7,7,7,7,6,7,7,5,5,7,6,NA,NA,pas_2
6,7,6,7,7,7,2,6,5,6,6,6,6,2,3,6,6,6,NA,NA,pas_2
7,7,7,7,7,7,6,7,7,7,6,7,7,3,7,6,6,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,5,7,7,7,7,7,2,7,7,6,NA,NA,pas_2
6,6,7,2,5,7,5,7,5,7,4,3,7,5,4,6,7,6,NA,NA,pas_2
7,7,7,7,5,7,3,7,3,5,7,5,7,7,3,6,5,5,NA,NA,pas_2
2,6,6,4,7,7,6,4,5,6,6,6,6,3,2,5,5,6,NA,NA,pas_2
5,5,5,6,5,7,5,5,5,5,6,6,4,3,3,4,4,3,NA,NA,pas_2
7,7,7,7,1,7,3,7,1,7,4,6,7,7,7,7,7,6,NA,NA,pas_2
4,6,5,7,5,7,5,5,4,6,7,4,5,6,1,4,7,7,NA,NA,pas_2
7,7,7,7,5,7,4,7,6,7,5,6,7,7,6,7,7,7,NA,NA,pas_2
6,7,7,7,7,7,7,6,6,6,5,6,7,7,2,7,5,5,NA,NA,pas_2
7,7,7,7,5,7,7,7,6,7,4,3,7,7,3,7,7,6,NA,NA,pas_2
6,7,7,7,7,7,7,7,6,7,7,7,7,6,3,7,7,7,NA,NA,pas_2
7,6,7,7,5,7,5,6,3,6,7,7,5,5,4,6,7,7,NA,NA,pas_2
6,7,7,7,7,7,7,7,6,7,6,6,7,6,2,7,7,6,NA,NA,pas_2
6,7,7,7,7,7,7,7,6,7,5,3,7,6,4,7,7,6,NA,NA,pas_2
1,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,NA,NA,pas_2
7,7,6,7,6,7,5,7,7,7,5,6,7,5,3,6,7,4,NA,NA,pas_2
7,7,7,5,6,7,6,7,3,7,6,5,7,7,5,6,7,6,NA,NA,pas_2
7,7,7,7,5,7,5,7,4,7,7,6,7,5,6,6,7,7,NA,NA,pas_2
5,7,7,4,5,7,6,5,4,7,5,7,7,5,3,6,7,7,NA,NA,pas_2
7,7,7,7,6,7,5,7,5,7,6,6,7,5,2,7,4,5,NA,NA,pas_2
5,7,7,6,2,7,4,7,5,7,7,7,7,6,2,5,7,6,NA,NA,pas_2
5,5,6,6,6,7,5,5,5,5,6,6,5,5,4,6,4,4,NA,NA,pas_2
7,6,5,7,5,7,6,7,5,7,4,2,7,6,1,6,6,4,NA,NA,pas_2
5,6,6,5,7,7,6,6,5,7,6,5,7,3,5,6,7,7,NA,NA,pas_2
5,3,4,5,4,6,4,3,1,3,1,4,2,2,2,1,5,4,NA,NA,pas_2
7,6,7,7,7,7,7,7,2,7,5,6,7,2,6,6,7,7,NA,NA,pas_2
4,7,7,5,6,7,4,6,5,7,6,6,7,6,6,5,7,6,NA,NA,pas_2
6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,NA,NA,pas_2
6,6,7,6,5,7,4,6,5,6,6,6,6,3,2,3,3,7,NA,NA,pas_2
6,3,7,7,6,7,6,7,6,7,5,7,7,3,3,5,7,5,NA,NA,pas_2
7,6,6,7,5,7,6,6,6,6,7,6,5,5,5,6,7,7,NA,NA,pas_2
4,6,6,7,5,7,5,6,5,6,6,6,7,5,5,6,4,7,NA,NA,pas_2
7,7,7,6,6,7,4,7,5,7,6,6,7,5,6,6,6,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,3,7,5,7,7,4,7,7,7,5,NA,NA,pas_2
7,7,1,7,6,7,2,7,4,7,5,7,7,5,2,7,7,7,NA,NA,pas_2
4,6,7,5,5,7,4,6,7,7,7,5,6,3,2,5,3,5,NA,NA,pas_2
7,7,7,7,7,7,5,7,5,7,7,7,7,3,5,7,4,5,NA,NA,pas_2
7,7,6,6,6,7,4,7,2,7,7,7,7,7,3,7,4,7,NA,NA,pas_2
7,3,6,6,6,7,6,6,6,6,5,5,6,3,5,6,7,3,NA,NA,pas_2
7,7,7,6,7,7,5,7,5,7,7,7,7,5,3,7,4,6,NA,NA,pas_2
7,7,7,7,7,7,7,7,6,7,7,7,7,7,4,7,7,7,NA,NA,pas_2
4,7,7,4,7,7,6,7,6,7,7,7,7,4,5,5,5,7,NA,NA,pas_2
6,7,7,7,2,7,2,7,5,7,4,6,7,4,3,7,7,7,NA,NA,pas_2
5,7,7,6,6,7,7,7,7,7,4,3,7,2,3,6,6,5,NA,NA,pas_2
7,7,7,6,7,7,6,6,6,7,6,6,7,2,1,6,7,6,NA,NA,pas_2
6,3,5,5,5,6,3,4,3,4,5,4,4,5,5,4,5,3,NA,NA,pas_2
7,7,7,6,7,7,7,6,6,7,7,2,7,3,5,6,6,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,7,7,7,6,7,2,6,7,7,7,NA,NA,pas_2
7,7,7,7,6,7,6,7,6,7,5,7,7,6,3,6,6,7,NA,NA,pas_2
5,6,5,6,5,6,5,5,2,3,7,4,3,1,4,3,2,5,NA,NA,pas_2
3,7,7,7,7,7,6,7,7,7,7,6,7,6,6,7,6,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,5,7,7,1,7,6,3,7,7,7,NA,NA,pas_2
7,4,5,7,6,7,5,5,3,6,7,5,5,4,3,2,7,5,NA,NA,pas_2
7,7,4,7,2,7,4,5,5,5,4,1,6,4,1,3,4,6,NA,NA,pas_2
7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,7,7,7,NA,NA,pas_2
6,7,7,6,7,7,7,7,5,7,7,7,7,6,7,7,7,6,NA,NA,pas_2
5,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,4,NA,NA,pas_2
7,5,6,6,6,7,4,6,5,7,5,7,7,5,5,7,6,5,NA,NA,pas_2
7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,NA,NA,pas_2
7,7,7,3,7,7,7,5,6,7,7,7,7,3,5,5,7,5,NA,NA,pas_2
7,7,7,7,7,7,6,7,5,7,7,6,7,5,6,6,7,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,7,NA,NA,pas_2
7,7,7,7,7,7,4,6,5,6,6,7,7,5,2,6,6,7,NA,NA,pas_2
7,7,7,7,3,7,3,7,6,6,6,6,7,7,4,5,6,7,NA,NA,pas_2
7,7,6,7,6,7,6,6,6,6,6,6,6,7,6,7,7,6,NA,NA,pas_2
6,7,6,7,5,7,5,6,5,7,5,4,7,6,5,7,7,6,NA,NA,pas_2
6,3,5,6,3,7,5,6,5,6,6,6,2,3,1,6,2,2,NA,NA,pas_2
7,7,7,7,7,7,6,7,7,7,7,7,7,7,4,7,7,7,NA,NA,pas_2
7,6,7,6,7,7,7,7,7,7,7,7,7,5,4,5,7,7,NA,NA,pas_2
6,6,5,6,5,7,5,6,4,5,4,6,7,3,2,5,7,6,NA,NA,pas_2
7,7,7,7,7,7,7,7,6,7,7,7,7,4,4,7,7,7,NA,NA,pas_2
7,7,7,7,7,7,7,7,7,7,6,5,7,7,6,7,7,7,NA,NA,pas_2
4,7,7,4,5,5,5,7,4,7,4,5,7,4,6,4,7,7,NA,NA,pas_2
6,4,4,5,5,7,4,4,2,4,5,4,3,3,4,3,3,4,NA,NA,pas_2
7,6,7,5,7,7,4,7,7,7,6,7,7,4,7,5,7,7,NA,NA,pas_2
6,7,7,6,6,7,7,7,7,7,7,6,7,6,2,5,7,7,NA,NA,pas_2
6,6,6,7,6,7,5,6,6,7,5,7,7,4,4,5,6,6,NA,NA,pas_2
4,6,5,6,5,6,6,6,2,5,4,6,2,6,2,5,5,7,NA,NA,pas_2
7,7,6,6,6,7,6,6,4,7,5,6,6,7,6,7,6,5,NA,NA,pas_2
7,7,7,7,6,7,6,7,7,7,4,6,7,7,4,7,7,7,NA,NA,pas_2
1,3,2,2,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,1,3,1,1,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
NA,NA,NA,4,NA,4,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,2,4,3,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,1,4,3,2,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,1,4,1,3,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,1,4,3,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,1,4,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,3,3,3,3,2,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,4,3,2,2,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,2,4,4,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,3,3,3,4,2,2,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,1,4,2,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,2,4,2,1,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,1,4,4,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,2,4,3,3,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,4,4,2,2,1,1,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,3,2,3,2,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,3,4,1,4,NA,4,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,3,4,4,2,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,1,4,3,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,NA,NA,3,NA,3,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,3,3,2,3,2,3,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,4,3,2,3,1,2,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,4,4,2,4,2,1,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,NA,NA,2,4,1,1,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,NA,NA,1,NA,3,1,2,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,NA,2,4,NA,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,NA,NA,1,NA,2,1,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,2,4,3,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,4,1,4,3,2,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,4,3,4,3,1,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,4,4,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
3,4,3,2,3,2,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
1,3,3,2,NA,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_1
2,4,4,2,4,2,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_2
1,4,3,1,3,2,1,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_2
2,4,4,1,4,3,2,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_2
3,4,4,3,3,1,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiexp_2
